timestamp_ms,speed_mm_per_s,smoothed_speed_mm_per_s
1630002062003,1482.97,1490.56
1630002062020,1477.09,1480.03
1630002062037,1447.65,1472.09
1630002062053,1668.58,1472.09
1630002062070,1329.34,1467.24
1630002062087,1370.87,1467.24
1630002062104,1603.02,1480.03
1630002062120,1526.49,1480.03
1630002062137,1603.71,1480.03
1630002062153,1461.12,1480.03
1630002062170,1437.63,1469.10
1630002062187,1508.21,1484.66
1630002062204,1333.75,1484.66
1630002062220,1525.29,1484.66
1630002062237,1368.80,1484.66
1630002062254,1381.40,1484.66
1630002062270,1803.53,1484.66
1630002062287,1323.08,1449.37
1630002062304,1522.95,1449.37
1630002062320,1367.34,1409.52
1630002062337,1392.27,1386.83
1630002062353,1637.21,1386.83
1630002062370,1401.37,1396.82
1630002062387,1452.85,1396.82
1630002062403,1487.88,1427.11
1630002062420,1511.07,1470.37
1630002062437,1607.67,1470.37
1630002062453,1407.21,1470.37
1630002062470,1579.46,1470.37
1630002062487,1261.90,1470.37
1630002062503,1885.36,1499.48
1630002062520,1342.02,1470.37
1630002062537,1417.42,1470.37
1630002062553,1479.99,1483.94
1630002062570,1528.14,1495.53
1630002062587,1460.82,1470.41
1630002062603,1702.85,1470.41
1630002062620,1214.52,1470.41
1630002062637,1521.94,1470.41
1630002062653,1410.93,1470.41
1630002062670,1654.35,1470.41
1630002062687,1419.23,1470.41
1630002062703,1521.58,1500.78
1630002062720,1351.50,1491.20
1630002062737,1495.79,1478.31
1630002062753,1452.11,1473.95
1630002062770,1579.41,1473.95
1630002062787,1196.92,1473.95
1630002062803,1605.54,1473.95
1630002062820,1371.56,1473.95
1630002062837,1546.80,1473.95
1630002062853,1438.61,1473.95
1630002062870,1420.67,1445.36
1630002062887,1444.97,1448.54
1630002062903,1551.18,1448.54
1630002062920,1352.65,1441.79
1630002062937,1564.36,1441.79
1630002062953,1422.86,1441.79
1630002062970,1627.18,1441.79
1630002062987,1252.30,1441.79
1630002063004,1553.40,1441.79
1630002063020,1444.07,1444.52
1630002063037,1519.83,1482.40
1630002063053,1602.74,1535.51
1630002063070,1470.67,1495.25
1630002063087,1415.12,1495.25
1630002063103,1637.84,1495.25
1630002063120,1285.46,1495.25
1630002063137,1606.16,1495.25
1630002063154,1302.12,1495.25
1630002063170,1640.83,1495.25
1630002063187,1315.16,1495.25
1630002063203,1697.68,1536.71
1630002063220,1407.93,1442.90
1630002063237,1437.35,1426.24
1630002063253,1411.06,1424.20
1630002063270,1528.20,1424.20
1630002063287,1410.87,1424.20
1630002063303,1621.87,1424.20
1630002063320,1344.73,1424.20
1630002063337,1504.81,1424.20
1630002063353,1439.67,1438.51
1630002063370,1552.50,1438.51
1630002063387,1293.13,1438.51
1630002063403,1633.43,1472.24
1630002063420,1381.82,1472.24
1630002063437,1573.32,1472.24
1630002063453,1572.44,1528.66
1630002063470,1475.00,1489.91
1630002063487,1391.23,1489.91
1630002063503,1643.41,1513.75
1630002063520,1384.74,1513.75
1630002063537,1517.33,1496.16
1630002063554,1229.75,1496.16
1630002063570,1610.30,1496.16
1630002063587,1412.69,1496.16
1630002063603,1527.30,1496.16
1630002063620,1436.03,1455.51
1630002063637,1336.78,1424.36
1630002063653,1534.92,1476.68
1630002063670,1530.79,1476.68
1630002063687,1348.23,1476.68
1630002063704,1511.43,1473.73
1630002063720,1431.97,1473.73
1630002063737,1501.96,1468.99
1630002063753,1457.06,1479.51
1630002063770,1557.21,1479.51
1630002063787,1424.07,1479.51
1630002063804,1358.39,1479.51
1630002063820,1610.66,1479.51
1630002063837,1390.69,1444.51
1630002063853,1481.59,1469.32
1630002063870,1443.39,1450.22
1630002063887,1412.99,1450.22
1630002063903,1535.80,1450.22
1630002063920,1421.35,1433.73
1630002063937,1467.55,1433.73
1630002063954,1329.44,1432.37
1630002063970,1542.47,1455.47
1630002063987,1434.05,1438.72
1630002064004,1421.19,1438.72
1630002064020,1426.50,1430.28
1630002064037,1346.01,1423.93
1630002064054,1420.79,1423.93
1630002064070,1459.19,1423.93
1630002064087,1407.87,1423.84
1630002064104,1367.24,1420.99
1630002064120,1434.31,1423.84
1630002064137,1380.90,1420.99
1630002064154,1429.25,1420.99
1630002064170,1489.51,1423.64
1630002064187,1379.24,1414.33
1630002064203,1371.93,1414.33
1630002064220,1453.13,1418.56
1630002064237,1293.19,1394.39
1630002064254,1320.68,1380.07
1630002064270,1545.03,1405.07
1630002064287,1339.69,1380.07
1630002064304,1370.02,1375.59
1630002064320,1507.96,1375.59
1630002064337,1496.16,1375.59
1630002064354,1344.78,1370.98
1630002064370,1409.32,1389.67
1630002064387,1560.23,1389.67
1630002064404,1396.33,1402.83
1630002064420,1512.67,1452.74
1630002064437,1515.81,1452.74
1630002064454,1396.67,1452.74
1630002064470,1572.94,1502.06
1630002064487,1335.38,1452.74
1630002064504,1467.85,1438.58
1630002064520,1520.53,1490.26
1630002064537,1490.39,1501.53
1630002064554,1589.46,1501.53
1630002064570,1398.97,1501.53
1630002064587,1417.80,1479.12
1630002064604,1468.19,1468.02
1630002064620,1574.09,1479.29
1630002064637,1486.66,1477.42
1630002064654,1348.03,1477.42
1630002064670,1469.89,1478.27
1630002064687,1464.24,1469.04
1630002064704,1486.30,1469.04
1630002064720,1709.20,1469.04
1630002064737,1366.46,1469.04
1630002064754,1413.73,1469.04
1630002064770,1541.36,1478.09
1630002064787,1498.36,1478.09
1630002064804,1461.78,1467.06
1630002064820,1478.68,1474.29
1630002064837,1387.10,1471.46
1630002064854,1626.37,1482.49
1630002064870,1365.91,1470.23
1630002064887,1452.38,1457.08
1630002064904,1309.38,1457.08
1630002064920,1614.53,1470.23
